Thread 7 snapshot experiment (intermediate-time fields)
Run timestamp: 2026-04-13 00:20:42 UTC
quick_mode: False
baseline_params: {'mu_sq': 1.0, 'alpha_phi': 1.0, 'gamma': 1.0, 'sigma': 0.5, 'lambda_B': 0.5, 'eta_g': 1.0, 'xi_g': 0.1}
polynomial_orders: [4, 5, 6]
lab_target_times: [1.0, 2.0, 4.0, 8.0, 15.0, 30.0]

Per-n integration outcome:
  n=4: success=False, t_final=8.363939899833055, method=Radau, message='Required step size is less than spacing between numbers.'
  n=5: success=True, t_final=30.0, method=Radau, message='The solver successfully reached the end of the integration interval.'
  n=6: success=True, t_final=30.0, method=Radau, message='The solver successfully reached the end of the integration interval.'

Columns: meta = metastable_count (landscape-only, constant in n).
n | t_tgt |  t_snap |        C_range |        g_range | meta |              kappa |           spec |         eta_f1 |         growth
------------------------------------------------------------------------------------------------------------------------------------
4 |  1.00 |  1.0000 | 0.002842052547 | 0.002002073133 |    3 |     694.6244765083 | 0.466495461934 |  78.9949374632 |  0.99999619486
4 |  2.00 |  2.0000 | 0.004802713476 | 0.004680313579 |    3 |     155.6437713157 | 0.498231632562 |  78.9962680377 | 0.999998599461
4 |  4.00 |  4.0000 | 0.015935445981 | 0.018331276812 |    3 |     527.3200070423 | 0.531619776117 |  78.9988531907 |  0.99999975656
4 |  8.00 |  8.0000 | 0.187408418001 | 0.197848666276 |    3 |       3.1023337672 | 0.398419531876 |  78.9999509687 | 0.999999989919
4 | 15.00 |  8.3639 | 0.287493650555 | 0.240515284158 |    3 |       3.2859504038 | 0.458866848921 |  78.9999535866 |   1.0000000203
4 | 30.00 |  8.3639 | 0.287493650555 | 0.240515284158 |    3 |       3.2859504038 | 0.458866848921 |  78.9999535866 |   1.0000000203
5 |  1.00 |  1.0000 | 0.002842026865 |  0.00200206366 |    2 |  482703.2871073539 | 0.563511029568 |  332.287607415 | 0.999993226597
5 |  2.00 |  2.0000 | 0.004802575775 | 0.004680256309 |    2 |    24223.291416269 | 0.599034789564 | 332.3039908979 |  0.99999796465
5 |  4.00 |  4.0000 | 0.015929347206 | 0.018328961815 |    2 |  286598.5587276287 | 0.601846440943 | 332.3255488302 | 0.999999637601
5 |  8.00 |  8.0000 | 0.142446323946 |  0.18522149905 |    2 |        6.798526679 |  0.42401823584 | 332.3329565584 | 0.999999990864
5 | 15.00 | 15.0000 | 0.000652816838 | 0.030211122231 |    2 |        1.002143042 | 0.177254153805 | 332.3332052822 | 0.999999992842
5 | 30.00 | 30.0000 |     1.5968e-08 | 0.000128117743 |    2 |       1.0000000534 | 0.177245385091 |  332.333194263 | 0.999999994912
6 |  1.00 |  1.0000 | 0.002842026865 |  0.00200206366 |    3 |         3.3537e+08 | 0.638918867858 |            nan |            nan
6 |  2.00 |  2.0000 | 0.004802575775 | 0.004680256309 |    3 | 3770072.9234326631 |  0.66654717601 |            nan |            nan
6 |  4.00 |  4.0000 | 0.015929346868 | 0.018328961789 |    3 |         1.5343e+08 | 0.648747325688 | 998.9677653537 |  0.99999950301
6 |  8.00 |  8.0000 |  0.14153528553 | 0.185191195078 |    3 |      17.7016415543 | 0.470008842047 | 998.9984134042 | 0.999999994781
6 | 15.00 | 15.0000 | 0.000365484169 | 0.026182343248 |    3 |       1.0027436464 | 0.177256736338 | 998.9991177579 | 0.999999992293
6 | 30.00 | 30.0000 |     7.9585e-10 |     6.7103e-05 |    3 |        1.000000006 | 0.177245385091 | 998.9991283119 |  0.99999999996
